lista,i,i <= 15,return
[],-,-,-
[],1,true,-
[1],1,true,-
[1],2,true,-
"[1,2]",2,true,-
"[1,2]",3,true,-
"[1,2,3]",3,true,-
"[1,2,3]",4,true,-
"[1,2,3,4]",4,true,-
"[1,2,3,4]",5,true,-
"[1,2,3,4,5]",5,true,-
"[1,2,3,4,5]",6,true,-
"[1,2,3,4,5,6]",6,true,-
"[1,2,3,4,5,6]",7,true,-
"[1,2,3,4,5,6,7]",7,true,-
"[1,2,3,4,5,6,7]",8,true,-
"[1,2,3,4,5,6,7,8]",8,true,-
"[1,2,3,4,5,6,7,8]",9,true,-
"[1,2,3,4,5,6,7,8,9]",9,true,-
"[1,2,3,4,5,6,7,8,9]",10,true,-
"[1,2,3,4,5,6,7,8,9,10]",10,true,-
"[1,2,3,4,5,6,7,8,9,10]",11,true,-
"[1,2,3,4,5,6,7,8,9,10,11]",11,true,-
"[1,2,3,4,5,6,7,8,9,10,11]",12,true,-
"[1,2,3,4,5,6,7,8,9,10,11,12]",12,true,-
"[1,2,3,4,5,6,7,8,9,10,11,12]",13,true,-
"[1,2,3,4,5,6,7,8,9,10,11,12,13]",13,true,-
"[1,2,3,4,5,6,7,8,9,10,11,12,13]",14,true,-
"[1,2,3,4,5,6,7,8,9,10,11,12,13,14]",14,true,--
"[1,2,3,4,5,6,7,8,9,10,11,12,13,14]",15,true,-
"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",15,true,-
"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",16,false,-
-,-,-,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]"
