lista,i," i >= -5",return
[],-,"-",-
[],5,"true",-
[5],5,"true",-
[5],4,"true",-
"[5,4]",4,"true",-
"[5,4]",3,"true",-
"[5,4,3]",3,"true",-
"[5,4,3]",2,"true",-
"[5,4,3,2]",2,"true",-
"[5,4,3,2]",1,"true",-
"[5,4,3,2,1]",1,"true",-
"[5,4,3,2,1]",0,"true",-
"[5,4,3,2,1,0]",0,"true",-
"[5,4,3,2,1,0]",-1,"true",-
"[5,4,3,2,1,0,-1]",-1,"true",-
"[5,4,3,2,1,0,-1]",-2,"true",-
"[5,4,3,2,1,0,-1,-2]",-2,"true",-
"[5,4,3,2,1,0,-1,-2]",-3,"true",-
"[5,4,3,2,1,0,-1,-2,-3]",-3,"true",-
"[5,4,3,2,1,0,-1,-2,-3]",-4,"true",-
"[5,4,3,2,1,0,-1,-2,-3,-4]",-4,"true",-
"[5,4,3,2,1,0,-1,-2,-3,-4]",-5,"true",-
"[5,4,3,2,1,0,-1,-2,-3,-4,-5]",-5,"true",-
"[5,4,3,2,1,0,-1,-2,-3,-4,-5]",-6,"false",-
-,-,"-","[5,4,3,2,1,0,-1,-2,-3,-4,-5]"
